Input file; Time; Memory; Instr.; User-Defined
fuzzer-out-3/afl/queue/id:000000,orig:example.txt; 1877189; 1007157248; 33; 3
fuzzer-out-3/afl/queue/id:000001,src:000000,op:havoc,rep:4; 1582221; 1007157248; 60; 0
fuzzer-out-3/afl/queue/id:000002,src:000000,op:havoc,rep:2,highscore; 1172341; 1007157248; 21; 6
fuzzer-out-3/afl/queue/id:000003,src:000000,op:havoc,rep:128,highscore; 1507863; 1007157248; 54; 39
fuzzer-out-3/afl/queue/id:000004,src:000000,op:havoc,rep:4,+cov; 936930; 1007157248; 7; 29
fuzzer-out-3/afl/queue/id:000005,src:000000,op:havoc,rep:64; 1131031; 1007157248; 15; 21
fuzzer-out-3/afl/queue/id:000006,src:000000,op:havoc,rep:64,highscore; 1143253; 1007157248; 7; 53
fuzzer-out-3/afl/queue/id:000007,src:000000,op:havoc,rep:32,+cov; 1243656; 1007157248; 51; 44
fuzzer-out-3/afl/queue/id:000008,src:000000,op:havoc,rep:32; 881740; 1007157248; 18; 33
